Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.1,70,25,3,0.05466666666666667,0.056,pca
28,0.1,50,10,3,0.051333333333333335,0.056,pca
28,0.1,85,50,3,0.055,0.056,pca
28,0.1,50,1,3,0.051,0.056,pca
28,0.1,85,10,3,0.05466666666666667,0.056,pca
28,0.1,100,5,3,0.056,0.056,pca
28,0.1,85,1,3,0.05533333333333333,0.056,pca
28,0.1,70,5,3,0.05366666666666667,0.056,pca
28,0.1,100,25,3,0.056,0.056,pca
28,0.2,85,1,3,0.17,0.165,dw_pmad
28,0.1,50,50,3,0.051333333333333335,0.056,pca
28,0.2,50,1,3,0.16933333333333334,0.165,dw_pmad
28,0.2,70,5,3,0.16933333333333334,0.165,dw_pmad
28,0.2,70,25,3,0.16833333333333333,0.165,dw_pmad
28,0.2,50,10,3,0.17266666666666666,0.165,dw_pmad
28,0.2,50,50,3,0.16766666666666666,0.165,dw_pmad
28,0.1,70,25,6,0.0825,0.0895,pca
28,0.1,50,10,6,0.0835,0.0895,pca
28,0.1,85,50,6,0.08433333333333333,0.0895,pca
28,0.1,50,1,6,0.08316666666666667,0.0895,pca
28,0.1,85,10,6,0.08416666666666667,0.0895,pca
28,0.1,85,1,6,0.08516666666666667,0.0895,pca
28,0.1,100,5,6,0.08733333333333333,0.0895,pca
28,0.1,70,5,6,0.08266666666666667,0.0895,pca
28,0.1,100,25,6,0.087,0.0895,pca
28,0.2,85,1,6,0.23233333333333334,0.2195,dw_pmad
28,0.1,50,50,6,0.08266666666666667,0.0895,pca
28,0.2,50,1,6,0.23283333333333334,0.2195,dw_pmad
28,0.2,50,10,6,0.2335,0.2195,dw_pmad
28,0.2,70,5,6,0.23366666666666666,0.2195,dw_pmad
28,0.2,70,25,6,0.233,0.2195,dw_pmad
28,0.2,50,50,6,0.22983333333333333,0.2195,dw_pmad
28,0.1,70,25,10,0.1151,0.1229,pca
28,0.1,85,50,10,0.1212,0.1229,pca
28,0.1,50,10,10,0.1154,0.1229,pca
28,0.1,50,1,10,0.1139,0.1229,pca
28,0.1,85,10,10,0.1209,0.1229,pca
28,0.1,85,1,10,0.1214,0.1229,pca
28,0.2,85,1,10,0.2848,0.2655,dw_pmad
28,0.1,100,5,10,0.1199,0.1229,pca
28,0.1,70,5,10,0.1149,0.1229,pca
28,0.1,100,25,10,0.1203,0.1229,pca
28,0.1,50,50,10,0.1143,0.1229,pca
28,0.2,50,1,10,0.2782,0.2655,dw_pmad
28,0.2,50,10,10,0.2796,0.2655,dw_pmad
28,0.2,70,5,10,0.2796,0.2655,dw_pmad
28,0.2,70,25,10,0.2779,0.2655,dw_pmad
28,0.2,50,50,10,0.2803,0.2655,dw_pmad
28,0.1,70,25,15,0.15473333333333333,0.15813333333333332,pca
28,0.1,85,50,15,0.15686666666666665,0.15813333333333332,pca
28,0.1,50,10,15,0.15466666666666667,0.15813333333333332,pca
28,0.1,50,1,15,0.1536,0.15813333333333332,pca
28,0.1,85,10,15,0.15713333333333335,0.15813333333333332,pca
28,0.1,85,1,15,0.15713333333333335,0.15813333333333332,pca
28,0.2,85,1,15,0.32986666666666664,0.31406666666666666,dw_pmad
28,0.1,100,5,15,0.1572,0.15813333333333332,pca
28,0.1,70,5,15,0.1546,0.15813333333333332,pca
28,0.1,50,50,15,0.1546,0.15813333333333332,pca
28,0.1,100,25,15,0.1572,0.15813333333333332,pca
28,0.2,50,1,15,0.3266,0.31406666666666666,dw_pmad
28,0.2,50,10,15,0.32713333333333333,0.31406666666666666,dw_pmad
28,0.2,70,25,15,0.3282,0.31406666666666666,dw_pmad
28,0.2,70,5,15,0.32693333333333335,0.31406666666666666,dw_pmad
28,0.2,50,50,15,0.32506666666666667,0.31406666666666666,dw_pmad
28,0.1,70,50,3,0.054,0.056,pca
28,0.1,100,1,3,0.056666666666666664,0.056,dw_pmad
28,0.1,50,5,3,0.05266666666666667,0.056,pca
28,0.1,85,25,3,0.055,0.056,pca
28,0.1,85,5,3,0.05466666666666667,0.056,pca
28,0.1,50,25,3,0.051666666666666666,0.056,pca
28,0.1,100,10,3,0.056666666666666664,0.056,dw_pmad
28,0.1,70,1,3,0.05433333333333333,0.056,pca
28,0.1,100,50,3,0.056666666666666664,0.056,dw_pmad
28,0.1,70,10,3,0.054,0.056,pca
28,0.2,85,5,3,0.16833333333333333,0.165,dw_pmad
28,0.2,50,5,3,0.17266666666666666,0.165,dw_pmad
28,0.2,50,25,3,0.171,0.165,dw_pmad
28,0.2,70,1,3,0.17066666666666666,0.165,dw_pmad
28,0.2,70,50,3,0.171,0.165,dw_pmad
28,0.2,70,10,3,0.16966666666666666,0.165,dw_pmad
28,0.1,70,50,6,0.08283333333333333,0.0895,pca
28,0.1,100,1,6,0.08683333333333333,0.0895,pca
28,0.1,50,5,6,0.0835,0.0895,pca
28,0.1,85,5,6,0.08416666666666667,0.0895,pca
28,0.1,50,25,6,0.083,0.0895,pca
28,0.1,85,25,6,0.085,0.0895,pca
28,0.1,100,10,6,0.08683333333333333,0.0895,pca
28,0.1,70,1,6,0.08283333333333333,0.0895,pca
28,0.1,100,50,6,0.08683333333333333,0.0895,pca
28,0.1,70,10,6,0.083,0.0895,pca
28,0.2,85,5,6,0.23166666666666666,0.2195,dw_pmad
28,0.2,50,5,6,0.23066666666666666,0.2195,dw_pmad
28,0.2,50,25,6,0.2315,0.2195,dw_pmad
28,0.2,70,1,6,0.23133333333333334,0.2195,dw_pmad
28,0.2,70,50,6,0.2335,0.2195,dw_pmad
28,0.2,70,10,6,0.233,0.2195,dw_pmad
28,0.1,70,50,10,0.1147,0.1229,pca
28,0.1,100,1,10,0.1199,0.1229,pca
28,0.1,85,5,10,0.121,0.1229,pca
28,0.1,50,5,10,0.1155,0.1229,pca
28,0.1,85,25,10,0.1211,0.1229,pca
28,0.1,50,25,10,0.1153,0.1229,pca
28,0.1,70,1,10,0.115,0.1229,pca
28,0.1,100,10,10,0.12,0.1229,pca
28,0.1,100,50,10,0.1202,0.1229,pca
28,0.1,70,10,10,0.1153,0.1229,pca
28,0.2,85,5,10,0.285,0.2655,dw_pmad
28,0.2,50,5,10,0.2785,0.2655,dw_pmad
28,0.2,50,25,10,0.28,0.2655,dw_pmad
28,0.2,70,1,10,0.2792,0.2655,dw_pmad
28,0.2,70,50,10,0.2788,0.2655,dw_pmad
28,0.2,70,10,10,0.279,0.2655,dw_pmad
28,0.1,70,50,15,0.15453333333333333,0.15813333333333332,pca
28,0.1,100,1,15,0.15713333333333335,0.15813333333333332,pca
28,0.1,85,5,15,0.15706666666666666,0.15813333333333332,pca
28,0.1,50,5,15,0.154,0.15813333333333332,pca
28,0.1,50,25,15,0.15466666666666667,0.15813333333333332,pca
28,0.1,85,25,15,0.15713333333333335,0.15813333333333332,pca
28,0.1,70,1,15,0.15433333333333332,0.15813333333333332,pca
28,0.1,100,10,15,0.15686666666666665,0.15813333333333332,pca
28,0.1,100,50,15,0.15733333333333333,0.15813333333333332,pca
28,0.2,85,5,15,0.3288,0.31406666666666666,dw_pmad
