Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.1,85,10,3,0.05533333333333333,0.056,pca
28,0.1,85,1,3,0.05533333333333333,0.056,pca
28,0.1,100,25,3,0.056666666666666664,0.056,dw_pmad
28,0.1,100,5,3,0.05633333333333333,0.056,dw_pmad
28,0.1,70,5,3,0.05266666666666667,0.056,pca
28,0.1,50,1,3,0.050666666666666665,0.056,pca
28,0.1,50,50,3,0.050666666666666665,0.056,pca
28,0.1,85,50,3,0.05566666666666667,0.056,pca
28,0.1,50,10,3,0.05333333333333334,0.056,pca
28,0.1,70,25,3,0.05266666666666667,0.056,pca
28,0.2,85,1,3,0.16366666666666665,0.165,pca
28,0.2,50,1,3,0.123,0.165,pca
28,0.2,70,5,3,0.168,0.165,dw_pmad
28,0.2,70,25,3,0.16466666666666666,0.165,pca
28,0.2,50,50,3,0.17233333333333334,0.165,dw_pmad
28,0.2,50,10,3,0.16466666666666666,0.165,pca
28,0.1,85,10,6,0.0855,0.0895,pca
28,0.1,85,1,6,0.08533333333333333,0.0895,pca
28,0.1,70,5,6,0.082,0.0895,pca
28,0.1,100,25,6,0.09083333333333334,0.0895,dw_pmad
28,0.1,100,5,6,0.09083333333333334,0.0895,dw_pmad
28,0.1,85,50,6,0.08533333333333333,0.0895,pca
28,0.1,50,1,6,0.08416666666666667,0.0895,pca
28,0.1,50,50,6,0.08416666666666667,0.0895,pca
28,0.1,50,10,6,0.08483333333333333,0.0895,pca
28,0.1,70,25,6,0.08183333333333333,0.0895,pca
28,0.2,85,1,6,0.21733333333333332,0.2195,pca
28,0.2,50,1,6,0.17433333333333334,0.2195,pca
28,0.2,70,5,6,0.2315,0.2195,dw_pmad
28,0.2,70,25,6,0.232,0.2195,dw_pmad
28,0.2,50,50,6,0.23066666666666666,0.2195,dw_pmad
28,0.2,50,10,6,0.22483333333333333,0.2195,dw_pmad
28,0.1,85,10,10,0.12,0.1229,pca
28,0.1,85,1,10,0.12,0.1229,pca
28,0.1,70,5,10,0.1174,0.1229,pca
28,0.1,100,25,10,0.1232,0.1229,dw_pmad
28,0.1,85,50,10,0.1201,0.1229,pca
28,0.1,100,5,10,0.1229,0.1229,pca
28,0.1,50,1,10,0.1149,0.1229,pca
28,0.1,50,50,10,0.1151,0.1229,pca
28,0.1,50,10,10,0.115,0.1229,pca
28,0.1,70,25,10,0.1172,0.1229,pca
28,0.2,85,1,10,0.2665,0.2655,dw_pmad
28,0.2,50,1,10,0.2219,0.2655,pca
28,0.2,70,5,10,0.2796,0.2655,dw_pmad
28,0.2,70,25,10,0.2801,0.2655,dw_pmad
28,0.2,50,50,10,0.2763,0.2655,dw_pmad
28,0.2,50,10,10,0.2751,0.2655,dw_pmad
28,0.1,85,10,15,0.15873333333333334,0.15813333333333332,dw_pmad
28,0.1,70,5,15,0.15553333333333333,0.15813333333333332,pca
28,0.1,85,1,15,0.1588,0.15813333333333332,dw_pmad
28,0.1,85,50,15,0.15853333333333333,0.15813333333333332,dw_pmad
28,0.1,100,25,15,0.15793333333333334,0.15813333333333332,pca
28,0.1,100,5,15,0.15826666666666667,0.15813333333333332,dw_pmad
