Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.1,100,5,3,0.05566666666666667,0.056,pca
28,0.1,100,25,3,0.056,0.056,pca
28,0.1,75,10,3,0.055,0.056,pca
28,0.1,75,1,3,0.054,0.056,pca
28,0.1,1,50,3,0.042666666666666665,0.056,pca
28,0.1,1,1,3,0.044,0.056,pca
28,0.1,30,1,3,0.051666666666666666,0.056,pca
28,0.1,75,50,3,0.05366666666666667,0.056,pca
28,0.1,1,10,3,0.042666666666666665,0.056,pca
28,0.1,50,5,3,0.051666666666666666,0.056,pca
28,0.1,50,25,3,0.051,0.056,pca
28,0.2,1,1,3,0.10533333333333333,0.165,pca
28,0.1,30,10,3,0.050666666666666665,0.056,pca
28,0.1,10,5,3,0.051333333333333335,0.056,pca
28,0.1,30,50,3,0.051666666666666666,0.056,pca
28,0.1,10,25,3,0.04733333333333333,0.056,pca
28,0.1,100,5,6,0.08733333333333333,0.0895,pca
28,0.1,100,25,6,0.0865,0.0895,pca
28,0.1,75,1,6,0.08516666666666667,0.0895,pca
28,0.1,75,10,6,0.08716666666666667,0.0895,pca
28,0.1,1,50,6,0.06933333333333333,0.0895,pca
28,0.1,1,1,6,0.0705,0.0895,pca
28,0.1,75,50,6,0.08583333333333333,0.0895,pca
28,0.1,30,1,6,0.08683333333333333,0.0895,pca
28,0.1,1,10,6,0.0685,0.0895,pca
28,0.1,50,5,6,0.08316666666666667,0.0895,pca
28,0.1,50,25,6,0.08366666666666667,0.0895,pca
28,0.1,10,5,6,0.08666666666666667,0.0895,pca
28,0.2,1,1,6,0.14866666666666667,0.2195,pca
28,0.1,30,50,6,0.08683333333333333,0.0895,pca
28,0.1,30,10,6,0.08633333333333333,0.0895,pca
28,0.1,10,25,6,0.084,0.0895,pca
28,0.1,100,5,10,0.12,0.1229,pca
28,0.1,100,25,10,0.1201,0.1229,pca
28,0.1,75,1,10,0.1189,0.1229,pca
28,0.1,75,10,10,0.1198,0.1229,pca
28,0.1,1,1,10,0.0998,0.1229,pca
28,0.1,1,50,10,0.0984,0.1229,pca
28,0.1,75,50,10,0.121,0.1229,pca
28,0.1,30,1,10,0.1144,0.1229,pca
28,0.1,1,10,10,0.0982,0.1229,pca
28,0.1,50,25,10,0.1169,0.1229,pca
28,0.1,10,5,10,0.1143,0.1229,pca
28,0.1,50,5,10,0.1167,0.1229,pca
28,0.2,1,1,10,0.1901,0.2655,pca
28,0.1,30,50,10,0.1149,0.1229,pca
28,0.1,30,10,10,0.1157,0.1229,pca
28,0.1,10,25,10,0.1146,0.1229,pca
28,0.1,100,5,15,0.157,0.15813333333333332,pca
28,0.1,100,25,15,0.1572,0.15813333333333332,pca
28,0.1,75,1,15,0.15673333333333334,0.15813333333333332,pca
28,0.1,75,50,15,0.1564,0.15813333333333332,pca
28,0.1,1,1,15,0.1308,0.15813333333333332,pca
28,0.1,75,10,15,0.15713333333333335,0.15813333333333332,pca
