Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.1,100,5,3,0.056,0.056,pca
28,0.1,75,50,3,0.058,0.056,dw_pmad
28,0.1,75,10,3,0.058666666666666666,0.056,dw_pmad
28,0.1,1,1,3,0.049666666666666665,0.056,pca
28,0.1,100,25,3,0.056,0.056,pca
28,0.1,30,10,3,0.056,0.056,pca
28,0.1,50,5,3,0.05566666666666667,0.056,pca
28,0.1,10,5,3,0.04733333333333333,0.056,pca
28,0.1,1,10,3,0.049666666666666665,0.056,pca
28,0.1,50,25,3,0.05533333333333333,0.056,pca
28,0.1,30,1,3,0.05566666666666667,0.056,pca
28,0.1,1,50,3,0.04766666666666667,0.056,pca
28,0.1,30,50,3,0.056,0.056,pca
28,0.1,10,25,3,0.04733333333333333,0.056,pca
28,0.1,75,1,3,0.055,0.056,pca
28,0.2,1,1,3,0.11,0.165,pca
28,0.1,100,5,6,0.0895,0.0895,pca
28,0.1,75,10,6,0.089,0.0895,pca
28,0.1,75,50,6,0.08833333333333333,0.0895,pca
28,0.1,1,1,6,0.08433333333333333,0.0895,pca
28,0.1,50,25,6,0.08766666666666667,0.0895,pca
28,0.1,30,10,6,0.0835,0.0895,pca
28,0.1,1,50,6,0.08466666666666667,0.0895,pca
28,0.1,50,5,6,0.08766666666666667,0.0895,pca
28,0.1,1,10,6,0.0825,0.0895,pca
28,0.1,100,25,6,0.0895,0.0895,pca
28,0.1,10,5,6,0.08283333333333333,0.0895,pca
28,0.1,30,1,6,0.08383333333333333,0.0895,pca
28,0.1,30,50,6,0.08366666666666667,0.0895,pca
28,0.1,10,25,6,0.08266666666666667,0.0895,pca
28,0.1,75,1,6,0.08933333333333333,0.0895,pca
28,0.2,1,1,6,0.15816666666666668,0.2195,pca
28,0.1,75,10,10,0.1213,0.1229,pca
28,0.1,75,50,10,0.1213,0.1229,pca
28,0.1,100,5,10,0.1229,0.1229,pca
28,0.1,1,1,10,0.1138,0.1229,pca
28,0.1,50,25,10,0.116,0.1229,pca
28,0.1,1,50,10,0.1147,0.1229,pca
28,0.1,50,5,10,0.1157,0.1229,pca
28,0.1,30,10,10,0.113,0.1229,pca
28,0.1,1,10,10,0.1134,0.1229,pca
28,0.1,10,5,10,0.1113,0.1229,pca
28,0.1,30,1,10,0.1135,0.1229,pca
28,0.1,100,25,10,0.1229,0.1229,pca
28,0.1,10,25,10,0.111,0.1229,pca
28,0.1,30,50,10,0.1129,0.1229,pca
28,0.1,75,1,10,0.1212,0.1229,pca
28,0.2,1,1,10,0.2032,0.2655,pca
28,0.1,75,10,15,0.15813333333333332,0.15813333333333332,pca
28,0.1,1,1,15,0.1488,0.15813333333333332,pca
28,0.1,75,50,15,0.15686666666666665,0.15813333333333332,pca
28,0.1,100,5,15,0.15806666666666666,0.15813333333333332,pca
28,0.1,50,25,15,0.1486,0.15813333333333332,pca
28,0.1,1,50,15,0.1488,0.15813333333333332,pca
28,0.1,1,10,15,0.148,0.15813333333333332,pca
28,0.1,50,5,15,0.14846666666666666,0.15813333333333332,pca
28,0.1,30,10,15,0.1434,0.15813333333333332,pca
28,0.1,10,5,15,0.14313333333333333,0.15813333333333332,pca
28,0.1,30,1,15,0.14366666666666666,0.15813333333333332,pca
28,0.1,100,25,15,0.15806666666666666,0.15813333333333332,pca
28,0.1,30,50,15,0.14353333333333335,0.15813333333333332,pca
28,0.1,10,25,15,0.14306666666666668,0.15813333333333332,pca
28,0.1,75,1,15,0.15686666666666665,0.15813333333333332,pca
28,0.2,1,1,15,0.24266666666666667,0.31406666666666666,pca
28,0.1,100,1,3,0.056,0.056,pca
28,0.1,1,5,3,0.051666666666666666,0.056,pca
28,0.1,100,10,3,0.056,0.056,pca
28,0.1,10,1,3,0.049,0.056,pca
28,0.1,75,25,3,0.057,0.056,dw_pmad
28,0.1,50,50,3,0.05566666666666667,0.056,pca
28,0.1,1,25,3,0.05433333333333333,0.056,pca
28,0.1,50,10,3,0.05566666666666667,0.056,pca
28,0.1,10,10,3,0.04766666666666667,0.056,pca
28,0.1,30,25,3,0.05633333333333333,0.056,dw_pmad
28,0.1,100,50,3,0.05633333333333333,0.056,dw_pmad
28,0.1,30,5,3,0.05566666666666667,0.056,pca
28,0.1,50,1,3,0.055,0.056,pca
28,0.1,10,50,3,0.04733333333333333,0.056,pca
28,0.1,75,5,3,0.056666666666666664,0.056,dw_pmad
28,0.2,1,5,3,0.125,0.165,pca
