Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy
50,0.05,85,25,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,1,3,0.207666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,25,3,0.207666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,85,1,3,0.206666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,1,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,25,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,1,3,0.206,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,25,3,0.206,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,25,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,1,3,0.148,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,5,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,85,5,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,5,3,0.207666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,85,35,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,35,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,35,3,0.209666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,5,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,35,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,35,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,5,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,85,10,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,85,50,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,10,3,0.207666667,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,50,3,0.206333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,100,50,3,0.195,0.209,0.164,0.194,0.163,0.148333333
50,0.05,75,10,3,0.206,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,50,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,10,3,0.207333333,0.209,0.164,0.194,0.163,0.148333333
50,0.05,65,10,3,0.207,0.209,0.164,0.194,0.163,0.148333333
50,0.05,50,50,3,0.206666667,0.209,0.164,0.194,0.163,0.148333333
50,0.1,75,25,3,0.373,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,75,1,3,0.374333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,25,3,0.368,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,1,3,0.375,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,25,3,0.372333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,1,3,0.147666667,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,75,35,3,0.366,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,35,3,0.366,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,75,5,3,0.368333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,5,3,0.375666667,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,35,3,0.367,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,5,3,0.376666667,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,75,50,3,0.371666667,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,50,3,0.370666667,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,75,10,3,0.373333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,50,10,3,0.367,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,50,3,0.372333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,65,10,3,0.375333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,100,1,3,0.376333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,100,25,3,0.376333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,85,1,3,0.374333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,85,25,3,0.372,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,100,35,3,0.373333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,100,5,3,0.369,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,85,35,3,0.370333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,85,5,3,0.372,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
50,0.1,100,50,3,0.370333333,0.378666667,0.294666667,0.255333333,0.243666667,0.395333333
