Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.05,100,1,1,0.313333333,0.413333333,0.23,0.328333333,0.393333333,0.43,mds,38.85691354,0.074367016,13.04099253,0.293828204,0.199077167,6.658293348
200,0.05,100,1,3,0.307777778,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,38.85691354,0.074367016,13.04099253,0.293828204,0.199077167,6.658293348
200,0.05,100,1,6,0.311666667,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,38.85691354,0.074367016,13.04099253,0.293828204,0.199077167,6.658293348
200,0.05,100,1,10,0.318833333,0.5075,0.510333333,0.519333333,0.444,0.535333333,mds,38.85691354,0.074367016,13.04099253,0.293828204,0.199077167,6.658293348
200,0.05,100,1,15,0.330666667,0.530555556,0.525777778,0.525333333,0.454111111,0.569333333,mds,38.85691354,0.074367016,13.04099253,0.293828204,0.199077167,6.658293348
200,0.05,100,6,1,0.315,0.413333333,0.23,0.328333333,0.393333333,0.43,mds,26.24909738,0.008253132,2.038701201,0.273294929,0.192089548,6.907746239
200,0.05,100,6,3,0.308333333,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,26.24909738,0.008253132,2.038701201,0.273294929,0.192089548,6.907746239
200,0.05,100,6,6,0.311944444,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,26.24909738,0.008253132,2.038701201,0.273294929,0.192089548,6.907746239
200,0.05,100,6,10,0.318333333,0.5075,0.510333333,0.519333333,0.444,0.535333333,mds,26.24909738,0.008253132,2.038701201,0.273294929,0.192089548,6.907746239
200,0.05,100,6,15,0.330333333,0.530555556,0.525777778,0.525333333,0.454111111,0.569333333,mds,26.24909738,0.008253132,2.038701201,0.273294929,0.192089548,6.907746239
200,0.05,100,12,1,0.315,0.413333333,0.23,0.328333333,0.393333333,0.43,mds,10.80940976,0.007830846,2.036776826,0.230645958,0.197289709,5.788183034
200,0.05,100,12,3,0.308333333,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,10.80940976,0.007830846,2.036776826,0.230645958,0.197289709,5.788183034
200,0.05,100,12,6,0.311944444,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,10.80940976,0.007830846,2.036776826,0.230645958,0.197289709,5.788183034
200,0.05,100,12,10,0.318333333,0.5075,0.510333333,0.519333333,0.444,0.535333333,mds,10.80940976,0.007830846,2.036776826,0.230645958,0.197289709,5.788183034
200,0.05,100,12,15,0.330333333,0.530555556,0.525777778,0.525333333,0.454111111,0.569333333,mds,10.80940976,0.007830846,2.036776826,0.230645958,0.197289709,5.788183034
200,0.05,100,18,1,0.313333333,0.413333333,0.23,0.328333333,0.393333333,0.43,mds,26.40847445,0.009543295,2.069695051,0.290612166,0.220819204,6.914144206
200,0.05,100,18,3,0.308888889,0.424444444,0.360555556,0.431111111,0.416111111,0.442777778,mds,26.40847445,0.009543295,2.069695051,0.290612166,0.220819204,6.914144206
200,0.05,100,18,6,0.313055556,0.464444444,0.451111111,0.530555556,0.437222222,0.489444444,isomap,26.40847445,0.009543295,2.069695051,0.290612166,0.220819204,6.914144206
