Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
50,0.05,100,12,1,0.03333333333333333,0.04,0.16333333333333333,0.05,0.04,0.056666666666666664,umap
50,0.05,100,15,1,0.03666666666666667,0.04,0.16333333333333333,0.05,0.04,0.056666666666666664,umap
50,0.05,100,20,1,0.03666666666666667,0.04,0.16333333333333333,0.05,0.04,0.056666666666666664,umap
50,0.05,100,8,1,0.03666666666666667,0.04,0.16333333333333333,0.05,0.04,0.056666666666666664,umap
50,0.05,100,10,1,0.03666666666666667,0.04,0.16333333333333333,0.05,0.04,0.056666666666666664,umap
50,0.1,100,8,1,0.21666666666666667,0.21,0.25333333333333335,0.10666666666666667,0.12333333333333334,0.19666666666666666,umap
50,0.1,100,15,1,0.20666666666666667,0.21,0.25333333333333335,0.10666666666666667,0.12333333333333334,0.19666666666666666,umap
50,0.1,100,20,1,0.21666666666666667,0.21,0.25333333333333335,0.10666666666666667,0.12333333333333334,0.19666666666666666,umap
50,0.1,100,10,1,0.20333333333333334,0.21,0.25333333333333335,0.10666666666666667,0.12333333333333334,0.19666666666666666,umap
50,0.1,100,12,1,0.21333333333333335,0.21,0.25333333333333335,0.10666666666666667,0.12333333333333334,0.19666666666666666,umap
50,0.2,100,12,1,0.37333333333333335,0.38333333333333336,0.25,0.13333333333333333,0.19,0.4766666666666667,mds
50,0.2,100,8,1,0.37666666666666665,0.38333333333333336,0.25,0.13333333333333333,0.19,0.4766666666666667,mds
50,0.2,100,10,1,0.38333333333333336,0.38333333333333336,0.25,0.13333333333333333,0.19,0.4766666666666667,mds
50,0.2,100,15,1,0.36666666666666664,0.38333333333333336,0.25,0.13333333333333333,0.19,0.4766666666666667,mds
50,0.2,100,20,1,0.37333333333333335,0.38333333333333336,0.25,0.13333333333333333,0.19,0.4766666666666667,mds
50,0.05,100,12,3,0.12111111111111111,0.12111111111111111,0.21888888888888888,0.11444444444444445,0.09,0.12777777777777777,umap
50,0.05,100,15,3,0.11888888888888889,0.12111111111111111,0.21888888888888888,0.11444444444444445,0.09,0.12777777777777777,umap
50,0.05,100,20,3,0.12,0.12111111111111111,0.21888888888888888,0.11444444444444445,0.09,0.12777777777777777,umap
50,0.05,100,8,3,0.11888888888888889,0.12111111111111111,0.21888888888888888,0.11444444444444445,0.09,0.12777777777777777,umap
50,0.05,100,10,3,0.11888888888888889,0.12111111111111111,0.21888888888888888,0.11444444444444445,0.09,0.12777777777777777,umap
50,0.1,100,8,3,0.32,0.32,0.3188888888888889,0.17888888888888888,0.18888888888888888,0.3188888888888889,dw_pmad
50,0.1,100,15,3,0.31,0.32,0.3188888888888889,0.17888888888888888,0.18888888888888888,0.3188888888888889,pca
50,0.1,100,20,3,0.3111111111111111,0.32,0.3188888888888889,0.17888888888888888,0.18888888888888888,0.3188888888888889,pca
50,0.1,100,10,3,0.31444444444444447,0.32,0.3188888888888889,0.17888888888888888,0.18888888888888888,0.3188888888888889,pca
50,0.1,100,12,3,0.30666666666666664,0.32,0.3188888888888889,0.17888888888888888,0.18888888888888888,0.3188888888888889,pca
50,0.2,100,12,3,0.47888888888888886,0.4866666666666667,0.3244444444444444,0.25555555555555554,0.26555555555555554,0.5566666666666666,mds
50,0.2,100,8,3,0.4811111111111111,0.4866666666666667,0.3244444444444444,0.25555555555555554,0.26555555555555554,0.5566666666666666,mds
50,0.2,100,10,3,0.47888888888888886,0.4866666666666667,0.3244444444444444,0.25555555555555554,0.26555555555555554,0.5566666666666666,mds
50,0.2,100,15,3,0.4811111111111111,0.4866666666666667,0.3244444444444444,0.25555555555555554,0.26555555555555554,0.5566666666666666,mds
50,0.2,100,20,3,0.4777777777777778,0.4866666666666667,0.3244444444444444,0.25555555555555554,0.26555555555555554,0.5566666666666666,mds
50,0.05,100,12,6,0.1922222222222222,0.19111111111111112,0.2777777777777778,0.16,0.14055555555555554,0.17722222222222223,umap
