Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
28,0.05,85,7,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,8,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,3,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,5,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,6,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,4,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.1,85,6,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,5,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,4,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,7,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,3,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,8,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.2,85,6,1,0.12666666666666668,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,5,1,0.13,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,3,1,0.09333333333333334,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,4,1,0.1,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.05,85,7,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,8,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,3,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,5,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,6,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
