Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
50,0.05,85,25,3,0.20633333333333334,0.209,pca
50,0.05,100,1,3,0.20766666666666667,0.209,pca
50,0.05,100,25,3,0.20766666666666667,0.209,pca
50,0.05,85,1,3,0.20666666666666667,0.209,pca
50,0.05,75,1,3,0.20633333333333334,0.209,pca
50,0.05,75,25,3,0.20633333333333334,0.209,pca
50,0.05,50,1,3,0.206,0.209,pca
50,0.05,65,25,3,0.206,0.209,pca
50,0.05,50,25,3,0.20633333333333334,0.209,pca
50,0.05,65,1,3,0.148,0.209,pca
50,0.1,75,25,3,0.373,0.37866666666666665,pca
50,0.1,75,1,3,0.37433333333333335,0.37866666666666665,pca
50,0.1,50,25,3,0.368,0.37866666666666665,pca
50,0.1,50,1,3,0.375,0.37866666666666665,pca
50,0.1,65,25,3,0.37233333333333335,0.37866666666666665,pca
50,0.1,65,1,3,0.14766666666666667,0.37866666666666665,pca
50,0.05,85,25,6,0.22366666666666668,0.226,pca
50,0.05,75,1,6,0.22316666666666668,0.226,pca
50,0.05,100,1,6,0.22433333333333333,0.226,pca
50,0.05,85,1,6,0.22383333333333333,0.226,pca
50,0.05,100,25,6,0.2245,0.226,pca
50,0.05,75,25,6,0.22316666666666668,0.226,pca
50,0.05,50,1,6,0.21966666666666668,0.226,pca
50,0.05,65,25,6,0.2235,0.226,pca
50,0.05,50,25,6,0.21966666666666668,0.226,pca
50,0.05,65,1,6,0.12633333333333333,0.226,pca
50,0.1,75,25,6,0.4151666666666667,0.4191666666666667,pca
50,0.1,50,25,6,0.4171666666666667,0.4191666666666667,pca
50,0.1,75,1,6,0.4136666666666667,0.4191666666666667,pca
50,0.1,50,1,6,0.415,0.4191666666666667,pca
50,0.1,65,25,6,0.4136666666666667,0.4191666666666667,pca
50,0.1,65,1,6,0.12633333333333333,0.4191666666666667,pca
50,0.05,75,1,10,0.2706,0.272,pca
50,0.05,85,25,10,0.2716,0.272,pca
50,0.05,100,1,10,0.2711,0.272,pca
50,0.05,85,1,10,0.2716,0.272,pca
50,0.05,75,25,10,0.2705,0.272,pca
50,0.05,100,25,10,0.271,0.272,pca
50,0.05,50,1,10,0.2681,0.272,pca
50,0.05,65,25,10,0.2697,0.272,pca
50,0.05,50,25,10,0.2683,0.272,pca
50,0.05,65,1,10,0.1487,0.272,pca
50,0.1,75,25,10,0.4758,0.4719,dw_pmad
50,0.1,50,25,10,0.4731,0.4719,dw_pmad
50,0.1,75,1,10,0.4738,0.4719,dw_pmad
50,0.1,50,1,10,0.4759,0.4719,dw_pmad
50,0.1,65,25,10,0.4737,0.4719,dw_pmad
50,0.1,65,1,10,0.1488,0.4719,pca
50,0.05,75,1,15,0.32626666666666665,0.3258,dw_pmad
50,0.05,85,25,15,0.3256,0.3258,pca
50,0.05,85,1,15,0.32566666666666666,0.3258,pca
50,0.05,100,1,15,0.3266,0.3258,dw_pmad
50,0.05,50,1,15,0.32553333333333334,0.3258,pca
50,0.05,100,25,15,0.3266,0.3258,dw_pmad
50,0.05,75,25,15,0.3263333333333333,0.3258,dw_pmad
50,0.05,65,25,15,0.32593333333333335,0.3258,dw_pmad
50,0.05,50,25,15,0.3258666666666667,0.3258,dw_pmad
50,0.05,65,1,15,0.18353333333333333,0.3258,pca
50,0.1,50,25,15,0.5261333333333333,0.5275333333333333,pca
50,0.1,75,25,15,0.5271333333333333,0.5275333333333333,pca
50,0.1,75,1,15,0.5248,0.5275333333333333,pca
50,0.1,50,1,15,0.5255333333333333,0.5275333333333333,pca
50,0.1,65,25,15,0.5257333333333334,0.5275333333333333,pca
50,0.1,65,1,15,0.18346666666666667,0.5275333333333333,pca
