Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s),Autoencoder Accuracy,FastICA Accuracy,FeatureAgglomeration Accuracy,LLE Accuracy,NMF Accuracy,RandomProjection Accuracy,VAE Accuracy,tSNE Accuracy,Autoencoder MethodTime(s),FastICA MethodTime(s),FeatureAgglomeration MethodTime(s),LLE MethodTime(s),NMF MethodTime(s),RandomProjection MethodTime(s),VAE MethodTime(s),tSNE MethodTime(s)
200,0.05,100,1,1,0.053872054,0.154882155,0.107744108,0.057239057,0.074074074,0.121212121,pca,32.07102067,0.026902989,15.88887853,0.315787992,0.208621413,5.600722353,0.074074074074074,0.1515151515151515,0.1346801346801346,0.0303030303030303,0.1582491582491582,0.0707070707070707,0.1313131313131313,0.138047138047138,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,1,3,0.118967452,0.228956229,0.19640853,0.127946128,0.138047138,0.234567901,mds,32.07102067,0.026902989,15.88887853,0.315787992,0.208621413,5.600722353,0.1492704826038159,0.2210998877665544,0.1952861952861952,0.0830527497194163,0.2121212121212121,0.122334455667789,0.2199775533108866,0.2109988776655443,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,1,6,0.179573513,0.309203143,0.300224467,0.191919192,0.191358025,0.305274972,pca,32.07102067,0.026902989,15.88887853,0.315787992,0.208621413,5.600722353,0.1936026936026936,0.2895622895622896,0.260381593714927,0.1290684624017957,0.2772166105499439,0.1616161616161616,0.2912457912457912,0.292368125701459,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,1,10,0.225252525,0.367676768,0.362289562,0.234343434,0.234343434,0.377104377,mds,32.07102067,0.026902989,15.88887853,0.315787992,0.208621413,5.600722353,0.2555555555555555,0.3434343434343434,0.3208754208754208,0.1855218855218855,0.3326599326599326,0.1973063973063973,0.3481481481481481,0.3501683501683502,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,1,15,0.266666667,0.420426487,0.419977553,0.273849607,0.273176207,0.442648709,mds,32.07102067,0.026902989,15.88887853,0.315787992,0.208621413,5.600722353,0.2924803591470258,0.3921436588103255,0.372615039281706,0.2381593714927048,0.3750841750841751,0.2430976430976431,0.3982042648709315,0.3957351290684624,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,6,1,0.057239057,0.154882155,0.107744108,0.057239057,0.074074074,0.121212121,pca,19.72083977,0.012061856,1.248579456,0.248225677,0.163827821,6.504380557,0.074074074074074,0.1515151515151515,0.1346801346801346,0.0303030303030303,0.1582491582491582,0.0707070707070707,0.1313131313131313,0.138047138047138,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,6,3,0.120089787,0.228956229,0.19640853,0.127946128,0.138047138,0.234567901,mds,19.72083977,0.012061856,1.248579456,0.248225677,0.163827821,6.504380557,0.1492704826038159,0.2210998877665544,0.1952861952861952,0.0830527497194163,0.2121212121212121,0.122334455667789,0.2199775533108866,0.2109988776655443,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,6,6,0.180695847,0.309203143,0.300224467,0.191919192,0.191358025,0.305274972,pca,19.72083977,0.012061856,1.248579456,0.248225677,0.163827821,6.504380557,0.1936026936026936,0.2895622895622896,0.260381593714927,0.1290684624017957,0.2772166105499439,0.1616161616161616,0.2912457912457912,0.292368125701459,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,6,10,0.223569024,0.367676768,0.362289562,0.234343434,0.234343434,0.377104377,mds,19.72083977,0.012061856,1.248579456,0.248225677,0.163827821,6.504380557,0.2555555555555555,0.3434343434343434,0.3208754208754208,0.1855218855218855,0.3326599326599326,0.1973063973063973,0.3481481481481481,0.3501683501683502,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
200,0.05,100,6,15,0.266217733,0.420426487,0.419977553,0.273849607,0.273176207,0.442648709,mds,19.72083977,0.012061856,1.248579456,0.248225677,0.163827821,6.504380557,0.2924803591470258,0.3921436588103255,0.372615039281706,0.2381593714927048,0.3750841750841751,0.2430976430976431,0.3982042648709315,0.3957351290684624,1.0894530999939889,0.0316578999918419,0.0195622999744955,0.1178593000222463,0.2748302000109106,0.0177638000168371,1.1677611999912187,11.07327239998267
