Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.05,100,1,1,0.365,0.388333333,0.155,0.208333333,0.368333333,0.341666667,pca,402.0668256,0.095438993,12.95116779,0.306517126,0.322131923,6.788634353
200,0.05,100,1,3,0.423333333,0.443888889,0.301111111,0.306666667,0.362777778,0.428333333,pca,402.0668256,0.095438993,12.95116779,0.306517126,0.322131923,6.788634353
200,0.05,100,1,6,0.488888889,0.508611111,0.406388889,0.408333333,0.427777778,0.490277778,pca,402.0668256,0.095438993,12.95116779,0.306517126,0.322131923,6.788634353
200,0.05,100,1,10,0.548,0.561166667,0.483166667,0.4415,0.4805,0.538833333,pca,402.0668256,0.095438993,12.95116779,0.306517126,0.322131923,6.788634353
200,0.05,100,1,15,0.597,0.602111111,0.531666667,0.473,0.513777778,0.585888889,pca,402.0668256,0.095438993,12.95116779,0.306517126,0.322131923,6.788634353
200,0.05,100,6,1,0.366666667,0.388333333,0.155,0.208333333,0.368333333,0.341666667,pca,231.1525064,0.009575172,1.990257655,0.226886881,0.244137919,6.719933481
200,0.05,100,6,3,0.422222222,0.443888889,0.301111111,0.306666667,0.362777778,0.428333333,pca,231.1525064,0.009575172,1.990257655,0.226886881,0.244137919,6.719933481
200,0.05,100,6,6,0.498611111,0.508611111,0.406388889,0.408333333,0.427777778,0.490277778,pca,231.1525064,0.009575172,1.990257655,0.226886881,0.244137919,6.719933481
200,0.05,100,6,10,0.552333333,0.561166667,0.483166667,0.4415,0.4805,0.538833333,pca,231.1525064,0.009575172,1.990257655,0.226886881,0.244137919,6.719933481
200,0.05,100,6,15,0.598888889,0.602111111,0.531666667,0.473,0.513777778,0.585888889,pca,231.1525064,0.009575172,1.990257655,0.226886881,0.244137919,6.719933481
200,0.05,100,12,1,0.398333333,0.388333333,0.155,0.208333333,0.368333333,0.341666667,dw_pmad,240.4176276,0.012175576,2.054433182,0.271561446,0.232044119,6.110102135
