Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.3,100,10,3,0.29388888888888887,0.28,dw_pmad,0.013888889
50,0.3,100,1,3,0.28888888888888886,0.28,dw_pmad,0.008888889
50,0.3,85,10,3,0.3138888888888889,0.28,dw_pmad,0.033888889
50,0.3,70,10,3,0.30333333333333334,0.28,dw_pmad,0.023333333
50,0.3,50,1,3,0.3061111111111111,0.28,dw_pmad,0.026111111
50,0.3,50,10,3,0.29888888888888887,0.28,dw_pmad,0.018888889
50,0.3,85,1,3,0.29833333333333334,0.28,dw_pmad,0.018333333
50,0.3,70,1,3,0.30944444444444447,0.28,dw_pmad,0.029444444
50,0.3,100,10,6,0.3472222222222222,0.33305555555555555,dw_pmad,0.014166667
50,0.3,100,1,6,0.35083333333333333,0.33305555555555555,dw_pmad,0.017777778
50,0.3,85,10,6,0.3547222222222222,0.33305555555555555,dw_pmad,0.021666667
50,0.3,70,10,6,0.3527777777777778,0.33305555555555555,dw_pmad,0.019722222
50,0.3,50,1,6,0.3536111111111111,0.33305555555555555,dw_pmad,0.020555556
50,0.3,50,10,6,0.35333333333333333,0.33305555555555555,dw_pmad,0.020277778
50,0.3,85,1,6,0.3466666666666667,0.33305555555555555,dw_pmad,0.013611111
50,0.3,70,1,6,0.36027777777777775,0.33305555555555555,dw_pmad,0.027222222
50,0.3,100,10,10,0.39166666666666666,0.37833333333333335,dw_pmad,0.013333333
50,0.5,100,10,3,0.4822222222222222,0.4622222222222222,dw_pmad,0.02
50,0.3,100,1,10,0.39716666666666667,0.37833333333333335,dw_pmad,0.018833333
50,0.3,85,10,10,0.3955,0.37833333333333335,dw_pmad,0.017166667
50,0.5,100,1,3,0.47888888888888886,0.4622222222222222,dw_pmad,0.016666667
50,0.3,70,10,10,0.387,0.37833333333333335,dw_pmad,0.008666667
50,0.3,50,1,10,0.3978333333333333,0.37833333333333335,dw_pmad,0.0195
50,0.3,50,10,10,0.39816666666666667,0.37833333333333335,dw_pmad,0.019833333
50,0.3,85,1,10,0.4008333333333333,0.37833333333333335,dw_pmad,0.0225
50,0.3,70,1,10,0.3995,0.37833333333333335,dw_pmad,0.021166667
50,0.5,70,10,3,0.4727777777777778,0.4622222222222222,dw_pmad,0.010555556
50,0.5,85,10,3,0.49166666666666664,0.4622222222222222,dw_pmad,0.029444444
50,0.3,100,10,15,0.43333333333333335,0.42055555555555557,dw_pmad,0.012777778
50,0.5,50,10,3,0.48833333333333334,0.4622222222222222,dw_pmad,0.026111111
50,0.3,100,1,15,0.4371111111111111,0.42055555555555557,dw_pmad,0.016555556
50,0.3,85,10,15,0.441,0.42055555555555557,dw_pmad,0.020444444
50,0.3,70,10,15,0.43144444444444446,0.42055555555555557,dw_pmad,0.010888889
50,0.3,50,1,15,0.44066666666666665,0.42055555555555557,dw_pmad,0.020111111
50,0.3,50,10,15,0.4424444444444444,0.42055555555555557,dw_pmad,0.021888889
50,0.3,85,1,15,0.4454444444444444,0.42055555555555557,dw_pmad,0.024888889
50,0.3,70,1,15,0.44622222222222224,0.42055555555555557,dw_pmad,0.025666667
50,0.5,100,10,6,0.5297222222222222,0.5108333333333334,dw_pmad,0.018888889
50,0.5,100,1,6,0.5230555555555556,0.5108333333333334,dw_pmad,0.012222222
50,0.5,70,10,6,0.5363888888888889,0.5108333333333334,dw_pmad,0.025555556
50,0.5,85,10,6,0.5327777777777778,0.5108333333333334,dw_pmad,0.021944444
50,0.5,50,10,6,0.5208333333333334,0.5108333333333334,dw_pmad,0.01
50,0.5,100,10,10,0.5756666666666667,0.5586666666666666,dw_pmad,0.017
50,0.5,85,1,3,0.47944444444444445,0.4622222222222222,dw_pmad,0.017222222
50,0.5,100,1,10,0.5711666666666667,0.5586666666666666,dw_pmad,0.0125
50,0.5,50,1,3,0.47888888888888886,0.4622222222222222,dw_pmad,0.016666667
50,0.5,70,10,10,0.5828333333333333,0.5586666666666666,dw_pmad,0.024166667
50,0.5,70,1,3,0.4866666666666667,0.4622222222222222,dw_pmad,0.024444444
50,0.5,85,10,10,0.5811666666666667,0.5586666666666666,dw_pmad,0.0225
50,0.5,50,10,10,0.5731666666666667,0.5586666666666666,dw_pmad,0.0145
50,0.5,85,1,6,0.5272222222222223,0.5108333333333334,dw_pmad,0.016388889
50,0.5,100,10,15,0.6084444444444445,0.5954444444444444,dw_pmad,0.013
50,0.5,100,1,15,0.6064444444444445,0.5954444444444444,dw_pmad,0.011
50,0.5,50,1,6,0.5258333333333334,0.5108333333333334,dw_pmad,0.015
50,0.5,70,10,15,0.6133333333333333,0.5954444444444444,dw_pmad,0.017888889
50,0.5,70,1,6,0.5313888888888889,0.5108333333333334,dw_pmad,0.020555556
50,0.5,85,10,15,0.6134444444444445,0.5954444444444444,dw_pmad,0.018
50,0.5,50,10,15,0.6071111111111112,0.5954444444444444,dw_pmad,0.011666667
50,0.5,85,1,10,0.5738333333333333,0.5586666666666666,dw_pmad,0.015166667
50,0.3,85,25,3,0.30333333333333334,0.28,dw_pmad,0.023333333
50,0.3,100,25,3,0.2911111111111111,0.28,dw_pmad,0.011111111
50,0.3,50,25,3,0.29,0.28,dw_pmad,0.01
50,0.3,100,5,3,0.29388888888888887,0.28,dw_pmad,0.013888889
50,0.5,50,1,10,0.5793333333333334,0.5586666666666666,dw_pmad,0.020666667
50,0.5,70,1,10,0.5776666666666667,0.5586666666666666,dw_pmad,0.019
50,0.3,85,25,6,0.35805555555555557,0.33305555555555555,dw_pmad,0.025
50,0.3,100,25,6,0.3386111111111111,0.33305555555555555,dw_pmad,0.005555556
50,0.3,70,25,3,0.31,0.28,dw_pmad,0.03
50,0.3,50,25,6,0.3525,0.33305555555555555,dw_pmad,0.019444444
50,0.3,100,5,6,0.34194444444444444,0.33305555555555555,dw_pmad,0.008888889
50,0.5,85,1,15,0.6096666666666667,0.5954444444444444,dw_pmad,0.014222222
50,0.3,85,25,10,0.401,0.37833333333333335,dw_pmad,0.022666667
50,0.3,100,25,10,0.3865,0.37833333333333335,dw_pmad,0.008166667
50,0.3,70,25,6,0.3591666666666667,0.33305555555555555,dw_pmad,0.026111111
50,0.3,50,25,10,0.394,0.37833333333333335,dw_pmad,0.015666667
50,0.5,50,1,15,0.6146666666666667,0.5954444444444444,dw_pmad,0.019222222
50,0.3,100,5,10,0.38466666666666666,0.37833333333333335,dw_pmad,0.006333333
50,0.3,85,5,3,0.2877777777777778,0.28,dw_pmad,0.007777778
50,0.5,70,1,15,0.6171111111111112,0.5954444444444444,dw_pmad,0.021666667
50,0.3,70,5,3,0.29777777777777775,0.28,dw_pmad,0.017777778
50,0.3,50,5,3,0.31166666666666665,0.28,dw_pmad,0.031666667
50,0.3,85,25,15,0.44155555555555553,0.42055555555555557,dw_pmad,0.021
50,0.3,100,25,15,0.43366666666666664,0.42055555555555557,dw_pmad,0.013111111
50,0.3,70,25,10,0.409,0.37833333333333335,dw_pmad,0.030666667
50,0.3,50,25,15,0.43544444444444447,0.42055555555555557,dw_pmad,0.014888889
50,0.3,100,5,15,0.43144444444444446,0.42055555555555557,dw_pmad,0.010888889
50,0.3,85,5,6,0.34944444444444445,0.33305555555555555,dw_pmad,0.016388889
50,0.3,70,5,6,0.3466666666666667,0.33305555555555555,dw_pmad,0.013611111
50,0.3,50,5,6,0.35583333333333333,0.33305555555555555,dw_pmad,0.022777778
50,0.3,70,25,15,0.44266666666666665,0.42055555555555557,dw_pmad,0.022111111
50,0.3,85,5,10,0.39716666666666667,0.37833333333333335,dw_pmad,0.018833333
50,0.3,70,5,10,0.394,0.37833333333333335,dw_pmad,0.015666667
50,0.3,50,5,10,0.3965,0.37833333333333335,dw_pmad,0.018166667
50,0.3,85,5,15,0.43444444444444447,0.42055555555555557,dw_pmad,0.013888889
50,0.3,70,5,15,0.4341111111111111,0.42055555555555557,dw_pmad,0.013555556
50,0.3,50,5,15,0.43855555555555553,0.42055555555555557,dw_pmad,0.018
50,0.5,100,25,3,0.48444444444444446,0.4622222222222222,dw_pmad,0.022222222
50,0.5,70,25,3,0.4677777777777778,0.4622222222222222,dw_pmad,0.005555556
50,0.5,100,5,3,0.48277777777777775,0.4622222222222222,dw_pmad,0.020555556
50,0.5,85,25,3,0.4777777777777778,0.4622222222222222,dw_pmad,0.015555556
50,0.5,50,25,3,0.48777777777777775,0.4622222222222222,dw_pmad,0.025555556
50,0.5,100,25,6,0.5308333333333334,0.5108333333333334,dw_pmad,0.02
50,0.5,70,25,6,0.5366666666666666,0.5108333333333334,dw_pmad,0.025833333
50,0.5,100,5,6,0.5263888888888889,0.5108333333333334,dw_pmad,0.015555556
50,0.5,85,25,6,0.5263888888888889,0.5108333333333334,dw_pmad,0.015555556
50,0.5,50,25,6,0.5463888888888889,0.5108333333333334,dw_pmad,0.035555556
50,0.5,100,25,10,0.5836666666666667,0.5586666666666666,dw_pmad,0.025
50,0.5,70,25,10,0.5776666666666667,0.5586666666666666,dw_pmad,0.019
50,0.5,100,5,10,0.5748333333333333,0.5586666666666666,dw_pmad,0.016166667
50,0.5,85,25,10,0.5736666666666667,0.5586666666666666,dw_pmad,0.015
50,0.5,50,25,10,0.5895,0.5586666666666666,dw_pmad,0.030833333
50,0.5,85,5,3,0.49,0.4622222222222222,dw_pmad,0.027777778
50,0.5,100,25,15,0.6126666666666667,0.5954444444444444,dw_pmad,0.017222222
50,0.5,50,5,3,0.47333333333333333,0.4622222222222222,dw_pmad,0.011111111
50,0.5,70,25,15,0.6102222222222222,0.5954444444444444,dw_pmad,0.014777778
50,0.5,100,5,15,0.611,0.5954444444444444,dw_pmad,0.015555556
50,0.5,85,25,15,0.6093333333333333,0.5954444444444444,dw_pmad,0.013888889
50,0.5,50,25,15,0.6141111111111112,0.5954444444444444,dw_pmad,0.018666667
50,0.5,70,5,3,0.4866666666666667,0.4622222222222222,dw_pmad,0.024444444
50,0.5,85,5,6,0.5486111111111112,0.5108333333333334,dw_pmad,0.037777778
50,0.5,50,5,6,0.5222222222222223,0.5108333333333334,dw_pmad,0.011388889
