Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
50,0.1,100,5,3,0.5206666666666667,0.521,pca
50,0.1,100,15,3,0.514,0.521,pca
50,0.1,70,15,3,0.53,0.521,dw_pmad
50,0.1,50,25,3,0.5333333333333333,0.521,dw_pmad
50,0.1,85,25,3,0.5016666666666667,0.521,pca
50,0.1,70,5,3,0.5296666666666666,0.521,dw_pmad
50,0.1,85,10,3,0.5196666666666667,0.521,pca
50,0.1,50,10,3,0.5233333333333333,0.521,dw_pmad
50,0.1,85,1,3,0.5236666666666666,0.521,dw_pmad
50,0.1,50,1,3,0.5276666666666666,0.521,dw_pmad
50,0.2,70,15,3,0.7623333333333333,0.7736666666666666,pca
50,0.2,70,5,3,0.7696666666666667,0.7736666666666666,pca
50,0.2,50,25,3,0.7703333333333333,0.7736666666666666,pca
50,0.2,50,10,3,0.7683333333333333,0.7736666666666666,pca
50,0.2,85,1,3,0.4736666666666667,0.7736666666666666,pca
50,0.1,100,5,6,0.5995,0.5986666666666667,dw_pmad
50,0.1,100,15,6,0.5958333333333333,0.5986666666666667,pca
50,0.1,70,15,6,0.6048333333333333,0.5986666666666667,dw_pmad
50,0.1,50,25,6,0.603,0.5986666666666667,dw_pmad
50,0.1,85,25,6,0.5751666666666667,0.5986666666666667,pca
50,0.1,70,5,6,0.6053333333333333,0.5986666666666667,dw_pmad
50,0.1,85,10,6,0.5953333333333334,0.5986666666666667,pca
50,0.1,50,10,6,0.5971666666666666,0.5986666666666667,pca
50,0.2,50,1,3,0.09566666666666666,0.7736666666666666,pca
50,0.1,50,1,6,0.6031666666666666,0.5986666666666667,dw_pmad
50,0.1,85,1,6,0.6055,0.5986666666666667,dw_pmad
50,0.2,70,15,6,0.8088333333333333,0.8225,pca
50,0.2,70,5,6,0.8135,0.8225,pca
50,0.2,50,25,6,0.814,0.8225,pca
50,0.2,50,10,6,0.8123333333333334,0.8225,pca
50,0.2,85,1,6,0.5261666666666667,0.8225,pca
50,0.1,100,5,10,0.657,0.6564,dw_pmad
50,0.1,70,15,10,0.658,0.6564,dw_pmad
50,0.1,100,15,10,0.6527,0.6564,pca
50,0.1,50,25,10,0.6586,0.6564,dw_pmad
50,0.1,85,25,10,0.6327,0.6564,pca
50,0.1,85,10,10,0.6544,0.6564,pca
50,0.1,70,5,10,0.6576,0.6564,dw_pmad
50,0.1,50,10,10,0.6564,0.6564,pca
50,0.2,50,1,6,0.16033333333333333,0.8225,pca
50,0.1,50,1,10,0.6583,0.6564,dw_pmad
50,0.1,85,1,10,0.6598,0.6564,dw_pmad
50,0.2,70,15,10,0.8381,0.8525,pca
50,0.2,70,5,10,0.8446,0.8525,pca
50,0.2,50,25,10,0.8452,0.8525,pca
50,0.2,50,10,10,0.8464,0.8525,pca
50,0.2,85,1,10,0.5773,0.8525,pca
50,0.1,100,5,15,0.7026666666666667,0.7054666666666667,pca
50,0.1,70,15,15,0.7048666666666666,0.7054666666666667,pca
50,0.1,100,15,15,0.7035333333333333,0.7054666666666667,pca
50,0.1,50,25,15,0.7054,0.7054666666666667,pca
