Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Arcene,RandomProjection,200,10,1,0.0707070707070707,0.017763800016837195
Arcene,RandomProjection,200,10,3,0.122334455667789,0.017763800016837195
Arcene,RandomProjection,200,10,6,0.16161616161616163,0.017763800016837195
Arcene,RandomProjection,200,10,10,0.19730639730639732,0.017763800016837195
Arcene,RandomProjection,200,10,15,0.2430976430976431,0.017763800016837195
Arcene,RandomProjection,200,20,1,0.15151515151515152,0.0019197000074200332
Arcene,RandomProjection,200,20,3,0.22671156004489337,0.0019197000074200332
Arcene,RandomProjection,200,20,6,0.2850729517396184,0.0019197000074200332
Arcene,RandomProjection,200,20,10,0.32861952861952864,0.0019197000074200332
Arcene,RandomProjection,200,20,15,0.378675645342312,0.0019197000074200332
Arcene,RandomProjection,200,40,1,0.2727272727272727,0.0040908000082708895
Arcene,RandomProjection,200,40,3,0.3468013468013468,0.0040908000082708895
Arcene,RandomProjection,200,40,6,0.42480359147025815,0.0040908000082708895
Arcene,RandomProjection,200,40,10,0.4696969696969697,0.0040908000082708895
Arcene,RandomProjection,200,40,15,0.5041526374859708,0.0040908000082708895
Arcene,RandomProjection,200,80,1,0.40404040404040403,0.0020308000093791634
Arcene,RandomProjection,200,80,3,0.468013468013468,0.0020308000093791634
Arcene,RandomProjection,200,80,6,0.5561167227833894,0.0020308000093791634
Arcene,RandomProjection,200,80,10,0.5962962962962963,0.0020308000093791634
Arcene,RandomProjection,200,80,15,0.6316498316498317,0.0020308000093791634
Arcene,RandomProjection,200,120,1,0.47474747474747475,0.0024071999941952527
Arcene,RandomProjection,200,120,3,0.5342312008978676,0.0024071999941952527
Arcene,RandomProjection,200,120,6,0.6094276094276094,0.0024071999941952527
Arcene,RandomProjection,200,120,10,0.6515151515151515,0.0024071999941952527
Arcene,RandomProjection,200,120,15,0.6830527497194164,0.0024071999941952527
Arcene,FastICA,200,10,1,0.15151515151515152,0.03165789999184199
Arcene,FastICA,200,10,3,0.22109988776655443,0.03165789999184199
Arcene,FastICA,200,10,6,0.2895622895622896,0.03165789999184199
Arcene,FastICA,200,10,10,0.3434343434343434,0.03165789999184199
Arcene,FastICA,200,10,15,0.3921436588103255,0.03165789999184199
Arcene,FastICA,200,20,1,0.24915824915824916,0.03013570001348853
Arcene,FastICA,200,20,3,0.30976430976430974,0.03013570001348853
Arcene,FastICA,200,20,6,0.37485970819304154,0.03013570001348853
Arcene,FastICA,200,20,10,0.42962962962962964,0.03013570001348853
Arcene,FastICA,200,20,15,0.46734006734006733,0.03013570001348853
Arcene,FastICA,200,40,1,0.3501683501683502,0.04884699999820441
Arcene,FastICA,200,40,3,0.42536475869809204,0.04884699999820441
Arcene,FastICA,200,40,6,0.4624017957351291,0.04884699999820441
Arcene,FastICA,200,40,10,0.503030303030303,0.04884699999820441
Arcene,FastICA,200,40,15,0.5236812570145903,0.04884699999820441
Arcene,FastICA,200,80,1,0.39057239057239057,0.17364449999877252
Arcene,FastICA,200,80,3,0.46464646464646464,0.17364449999877252
Arcene,FastICA,200,80,6,0.478675645342312,0.17364449999877252
Arcene,FastICA,200,80,10,0.4767676767676768,0.17364449999877252
Arcene,FastICA,200,80,15,0.4823793490460157,0.17364449999877252
Arcene,FastICA,200,120,1,0.43097643097643096,0.7486732999968808
Arcene,FastICA,200,120,3,0.4691358024691358,0.7486732999968808
Arcene,FastICA,200,120,6,0.45791245791245794,0.7486732999968808
Arcene,FastICA,200,120,10,0.4531986531986532,0.7486732999968808
Arcene,FastICA,200,120,15,0.45095398428731764,0.7486732999968808
Arcene,tSNE,200,10,1,0.13804713804713806,11.07327239998267
Arcene,tSNE,200,10,3,0.21099887766554434,11.07327239998267
Arcene,tSNE,200,10,6,0.29236812570145904,11.07327239998267
Arcene,tSNE,200,10,10,0.3501683501683502,11.07327239998267
Arcene,tSNE,200,10,15,0.3957351290684624,11.07327239998267
Arcene,tSNE,200,20,1,0.06397306397306397,11.248157599999104
