Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Fasttext,RandomProjection,298,14,1,0.065,0.0016590999730397016
Fasttext,RandomProjection,298,14,3,0.10444444444444445,0.0016590999730397016
Fasttext,RandomProjection,298,14,6,0.11805555555555555,0.0016590999730397016
Fasttext,RandomProjection,298,14,10,0.14316666666666666,0.0016590999730397016
Fasttext,RandomProjection,298,14,15,0.16755555555555557,0.0016590999730397016
Fasttext,RandomProjection,298,29,1,0.17833333333333334,0.0026498000079300255
Fasttext,RandomProjection,298,29,3,0.19944444444444445,0.0026498000079300255
Fasttext,RandomProjection,298,29,6,0.21861111111111112,0.0026498000079300255
Fasttext,RandomProjection,298,29,10,0.24583333333333332,0.0026498000079300255
Fasttext,RandomProjection,298,29,15,0.27544444444444444,0.0026498000079300255
Fasttext,RandomProjection,298,59,1,0.29833333333333334,0.0028873999835923314
Fasttext,RandomProjection,298,59,3,0.30722222222222223,0.0028873999835923314
Fasttext,RandomProjection,298,59,6,0.34,0.0028873999835923314
Fasttext,RandomProjection,298,59,10,0.37066666666666664,0.0028873999835923314
Fasttext,RandomProjection,298,59,15,0.3908888888888889,0.0028873999835923314
Fasttext,RandomProjection,298,119,1,0.42833333333333334,0.00314400001661852
Fasttext,RandomProjection,298,119,3,0.4538888888888889,0.00314400001661852
Fasttext,RandomProjection,298,119,6,0.4747222222222222,0.00314400001661852
Fasttext,RandomProjection,298,119,10,0.5075,0.00314400001661852
Fasttext,RandomProjection,298,119,15,0.5288888888888889,0.00314400001661852
Fasttext,RandomProjection,298,178,1,0.49666666666666665,0.004704199993284419
Fasttext,RandomProjection,298,178,3,0.5372222222222223,0.004704199993284419
Fasttext,RandomProjection,298,178,6,0.5416666666666666,0.004704199993284419
Fasttext,RandomProjection,298,178,10,0.58,0.004704199993284419
Fasttext,RandomProjection,298,178,15,0.5956666666666667,0.004704199993284419
Fasttext,FastICA,298,14,1,0.17166666666666666,0.043379000009736046
Fasttext,FastICA,298,14,3,0.26666666666666666,0.043379000009736046
