Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Isolet,RandomProjection,200,10,1,0.17166666666666666,0.03430939998361282
Isolet,RandomProjection,200,10,3,0.16277777777777777,0.03430939998361282
Isolet,RandomProjection,200,10,6,0.19111111111111112,0.03430939998361282
Isolet,RandomProjection,200,10,10,0.22416666666666665,0.03430939998361282
Isolet,RandomProjection,200,10,15,0.254,0.03430939998361282
Isolet,RandomProjection,200,20,1,0.265,0.0045569999783765525
Isolet,RandomProjection,200,20,3,0.29888888888888887,0.0045569999783765525
Isolet,RandomProjection,200,20,6,0.31833333333333336,0.0045569999783765525
Isolet,RandomProjection,200,20,10,0.3426666666666667,0.0045569999783765525
Isolet,RandomProjection,200,20,15,0.3748888888888889,0.0045569999783765525
Isolet,RandomProjection,200,40,1,0.4083333333333333,0.0020025999983772635
Isolet,RandomProjection,200,40,3,0.44,0.0020025999983772635
Isolet,RandomProjection,200,40,6,0.47305555555555556,0.0020025999983772635
Isolet,RandomProjection,200,40,10,0.4975,0.0020025999983772635
Isolet,RandomProjection,200,40,15,0.5187777777777778,0.0020025999983772635
Isolet,RandomProjection,200,80,1,0.4866666666666667,0.002390099980402738
Isolet,RandomProjection,200,80,3,0.5633333333333334,0.002390099980402738
Isolet,RandomProjection,200,80,6,0.5963888888888889,0.002390099980402738
Isolet,RandomProjection,200,80,10,0.6268333333333334,0.002390099980402738
Isolet,RandomProjection,200,80,15,0.6418888888888888,0.002390099980402738
Isolet,RandomProjection,200,120,1,0.56,0.0029400999774225056
Isolet,RandomProjection,200,120,3,0.6322222222222222,0.0029400999774225056
Isolet,RandomProjection,200,120,6,0.6625,0.0029400999774225056
Isolet,RandomProjection,200,120,10,0.6835,0.0029400999774225056
Isolet,RandomProjection,200,120,15,0.7014444444444444,0.0029400999774225056
Isolet,FastICA,200,10,1,0.34833333333333333,0.11597970000002533
Isolet,FastICA,200,10,3,0.40055555555555555,0.11597970000002533
Isolet,FastICA,200,10,6,0.4477777777777778,0.11597970000002533
Isolet,FastICA,200,10,10,0.5033333333333333,0.11597970000002533
Isolet,FastICA,200,10,15,0.5464444444444444,0.11597970000002533
Isolet,FastICA,200,20,1,0.445,0.1328184999874793
Isolet,FastICA,200,20,3,0.515,0.1328184999874793
Isolet,FastICA,200,20,6,0.5633333333333334,0.1328184999874793
Isolet,FastICA,200,20,10,0.5846666666666667,0.1328184999874793
Isolet,FastICA,200,20,15,0.6074444444444445,0.1328184999874793
Isolet,FastICA,200,40,1,0.4766666666666667,0.24350260000210255
Isolet,FastICA,200,40,3,0.5233333333333333,0.24350260000210255
Isolet,FastICA,200,40,6,0.5508333333333333,0.24350260000210255
Isolet,FastICA,200,40,10,0.5546666666666666,0.24350260000210255
Isolet,FastICA,200,40,15,0.5496666666666666,0.24350260000210255
Isolet,FastICA,200,80,1,0.405,0.42492350001703016
Isolet,FastICA,200,80,3,0.4261111111111111,0.42492350001703016
Isolet,FastICA,200,80,6,0.42194444444444446,0.42492350001703016
Isolet,FastICA,200,80,10,0.41483333333333333,0.42492350001703016
Isolet,FastICA,200,80,15,0.4093333333333333,0.42492350001703016
Isolet,FastICA,200,120,1,0.3333333333333333,0.6920537000114564
Isolet,FastICA,200,120,3,0.33,0.6920537000114564
Isolet,FastICA,200,120,6,0.31555555555555553,0.6920537000114564
Isolet,FastICA,200,120,10,0.32116666666666666,0.6920537000114564
Isolet,FastICA,200,120,15,0.32166666666666666,0.6920537000114564
Isolet,tSNE,200,10,1,0.06166666666666667,19.741186400002334
Isolet,tSNE,200,10,3,0.10666666666666667,19.741186400002334
Isolet,tSNE,200,10,6,0.15305555555555556,19.741186400002334
Isolet,tSNE,200,10,10,0.20033333333333334,19.741186400002334
Isolet,tSNE,200,10,15,0.23955555555555555,19.741186400002334
Isolet,tSNE,200,20,1,0.056666666666666664,12.154982300009578
Isolet,tSNE,200,20,3,0.09111111111111111,12.154982300009578
Isolet,tSNE,200,20,6,0.1297222222222222,12.154982300009578
Isolet,tSNE,200,20,10,0.17166666666666666,12.154982300009578
Isolet,tSNE,200,20,15,0.20866666666666667,12.154982300009578
Isolet,tSNE,200,40,1,0.04833333333333333,17.46516910000355
Isolet,tSNE,200,40,3,0.07722222222222222,17.46516910000355
Isolet,tSNE,200,40,6,0.11277777777777778,17.46516910000355
Isolet,tSNE,200,40,10,0.15266666666666667,17.46516910000355
Isolet,tSNE,200,40,15,0.18733333333333332,17.46516910000355
Isolet,tSNE,200,80,1,0.05333333333333334,26.31390740000643
