Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
PBMC3k,RandomProjection,200,10,1,0.265,0.0037383000017143786
PBMC3k,RandomProjection,200,10,3,0.13055555555555556,0.0037383000017143786
PBMC3k,RandomProjection,200,10,6,0.1025,0.0037383000017143786
PBMC3k,RandomProjection,200,10,10,0.10566666666666667,0.0037383000017143786
PBMC3k,RandomProjection,200,10,15,0.1228888888888889,0.0037383000017143786
PBMC3k,RandomProjection,200,20,1,0.30833333333333335,0.0022336000110954046
PBMC3k,RandomProjection,200,20,3,0.1938888888888889,0.0022336000110954046
PBMC3k,RandomProjection,200,20,6,0.17472222222222222,0.0022336000110954046
PBMC3k,RandomProjection,200,20,10,0.18366666666666667,0.0022336000110954046
PBMC3k,RandomProjection,200,20,15,0.1998888888888889,0.0022336000110954046
PBMC3k,RandomProjection,200,40,1,0.38,0.0018186999950557947
PBMC3k,RandomProjection,200,40,3,0.2916666666666667,0.0018186999950557947
PBMC3k,RandomProjection,200,40,6,0.2822222222222222,0.0018186999950557947
PBMC3k,RandomProjection,200,40,10,0.297,0.0018186999950557947
PBMC3k,RandomProjection,200,40,15,0.3253333333333333,0.0018186999950557947
PBMC3k,RandomProjection,200,80,1,0.485,0.0017448000144213438
PBMC3k,RandomProjection,200,80,3,0.4161111111111111,0.0017448000144213438
PBMC3k,RandomProjection,200,80,6,0.41833333333333333,0.0017448000144213438
PBMC3k,RandomProjection,200,80,10,0.43816666666666665,0.0017448000144213438
PBMC3k,RandomProjection,200,80,15,0.45066666666666666,0.0017448000144213438
PBMC3k,RandomProjection,200,120,1,0.55,0.0018417999963276088
PBMC3k,RandomProjection,200,120,3,0.5,0.0018417999963276088
PBMC3k,RandomProjection,200,120,6,0.5038888888888889,0.0018417999963276088
PBMC3k,RandomProjection,200,120,10,0.5176666666666667,0.0018417999963276088
PBMC3k,RandomProjection,200,120,15,0.5333333333333333,0.0018417999963276088
PBMC3k,FastICA,200,10,1,0.275,0.02625830000033602
PBMC3k,FastICA,200,10,3,0.14777777777777779,0.02625830000033602
PBMC3k,FastICA,200,10,6,0.1463888888888889,0.02625830000033602
PBMC3k,FastICA,200,10,10,0.16966666666666666,0.02625830000033602
PBMC3k,FastICA,200,10,15,0.19,0.02625830000033602
PBMC3k,FastICA,200,20,1,0.31833333333333336,0.03356140002142638
PBMC3k,FastICA,200,20,3,0.23722222222222222,0.03356140002142638
PBMC3k,FastICA,200,20,6,0.25555555555555554,0.03356140002142638
PBMC3k,FastICA,200,20,10,0.28933333333333333,0.03356140002142638
PBMC3k,FastICA,200,20,15,0.31877777777777777,0.03356140002142638
PBMC3k,FastICA,200,40,1,0.3983333333333333,0.08197289999225177
PBMC3k,FastICA,200,40,3,0.3827777777777778,0.08197289999225177
PBMC3k,FastICA,200,40,6,0.4141666666666667,0.08197289999225177
PBMC3k,FastICA,200,40,10,0.45266666666666666,0.08197289999225177
PBMC3k,FastICA,200,40,15,0.4855555555555556,0.08197289999225177
PBMC3k,FastICA,200,80,1,0.555,0.17297959999996237
PBMC3k,FastICA,200,80,3,0.5427777777777778,0.17297959999996237
PBMC3k,FastICA,200,80,6,0.5616666666666666,0.17297959999996237
PBMC3k,FastICA,200,80,10,0.5795,0.17297959999996237
PBMC3k,FastICA,200,80,15,0.611,0.17297959999996237
PBMC3k,FastICA,200,120,1,0.6483333333333333,0.4040009999880567
PBMC3k,FastICA,200,120,3,0.61,0.4040009999880567
PBMC3k,FastICA,200,120,6,0.6041666666666666,0.4040009999880567
PBMC3k,FastICA,200,120,10,0.622,0.4040009999880567
PBMC3k,FastICA,200,120,15,0.6471111111111111,0.4040009999880567
PBMC3k,tSNE,200,10,1,0.13166666666666665,13.558931999985361
PBMC3k,tSNE,200,10,3,0.15444444444444444,13.558931999985361
PBMC3k,tSNE,200,10,6,0.1622222222222222,13.558931999985361
PBMC3k,tSNE,200,10,10,0.173,13.558931999985361
PBMC3k,tSNE,200,10,15,0.18088888888888888,13.558931999985361
PBMC3k,tSNE,200,20,1,0.12833333333333333,17.08924100000877
PBMC3k,tSNE,200,20,3,0.14444444444444443,17.08924100000877
PBMC3k,tSNE,200,20,6,0.1502777777777778,17.08924100000877
PBMC3k,tSNE,200,20,10,0.159,17.08924100000877
PBMC3k,tSNE,200,20,15,0.16555555555555557,17.08924100000877
PBMC3k,tSNE,200,40,1,0.20666666666666667,22.851554799999576
PBMC3k,tSNE,200,40,3,0.16166666666666665,22.851554799999576
PBMC3k,tSNE,200,40,6,0.1575,22.851554799999576
PBMC3k,tSNE,200,40,10,0.1535,22.851554799999576
PBMC3k,tSNE,200,40,15,0.15533333333333332,22.851554799999576
PBMC3k,tSNE,200,80,1,0.275,34.76253250002628
PBMC3k,tSNE,200,80,3,0.21777777777777776,34.76253250002628
PBMC3k,tSNE,200,80,6,0.18805555555555556,34.76253250002628
PBMC3k,tSNE,200,80,10,0.17083333333333334,34.76253250002628
PBMC3k,tSNE,200,80,15,0.162,34.76253250002628
PBMC3k,tSNE,200,120,1,0.13833333333333334,47.55392350000329
PBMC3k,tSNE,200,120,3,0.11722222222222223,47.55392350000329
PBMC3k,tSNE,200,120,6,0.10888888888888888,47.55392350000329
PBMC3k,tSNE,200,120,10,0.10516666666666667,47.55392350000329
PBMC3k,tSNE,200,120,15,0.10722222222222222,47.55392350000329
PBMC3k,NMF,200,10,1,0.27,0.3144977999909315
PBMC3k,NMF,200,10,3,0.14222222222222222,0.3144977999909315
PBMC3k,NMF,200,10,6,0.13472222222222222,0.3144977999909315
PBMC3k,NMF,200,10,10,0.14933333333333335,0.3144977999909315
PBMC3k,NMF,200,10,15,0.16944444444444445,0.3144977999909315
PBMC3k,NMF,200,20,1,0.29333333333333333,0.4225871999806259
PBMC3k,NMF,200,20,3,0.2011111111111111,0.4225871999806259
