Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
Arcene,LSH,200,10,1,0.023333333,0.0011455
Arcene,LSH,200,10,3,0.048888889,0.0011455
Arcene,LSH,200,10,6,0.071666667,0.0011455
Arcene,LSH,200,10,10,0.106,0.0011455
Arcene,LSH,200,10,15,0.138888889,0.0011455
Arcene,LSH,200,20,1,0.046666667,0.0019457
Arcene,LSH,200,20,3,0.085555556,0.0019457
Arcene,LSH,200,20,6,0.107777778,0.0019457
Arcene,LSH,200,20,10,0.147,0.0019457
Arcene,LSH,200,20,15,0.175777778,0.0019457
Arcene,LSH,200,40,1,0.11,0.0024279
Arcene,LSH,200,40,3,0.147777778,0.0024279
Arcene,LSH,200,40,6,0.183888889,0.0024279
Arcene,LSH,200,40,10,0.220666667,0.0024279
Arcene,LSH,200,40,15,0.263333333,0.0024279
Arcene,LSH,200,80,1,0.16,0.0022083
Arcene,LSH,200,80,3,0.245555556,0.0022083
Arcene,LSH,200,80,6,0.281666667,0.0022083
Arcene,LSH,200,80,10,0.327,0.0022083
Arcene,LSH,200,80,15,0.358444444,0.0022083
Arcene,LSH,200,120,1,0.203333333,0.0024791
Arcene,LSH,200,120,3,0.277777778,0.0024791
Arcene,LSH,200,120,6,0.355,0.0024791
Arcene,LSH,200,120,10,0.385,0.0024791
Arcene,LSH,200,120,15,0.422888889,0.0024791
