Dataset,Method,OriginalDim,TargetDim,k,Accuracy,MethodTime(s)
PBMC3k,LSH,200,10,1,0.006666667,0.0011273
PBMC3k,LSH,200,10,3,0.02,0.0011273
PBMC3k,LSH,200,10,6,0.027222222,0.0011273
PBMC3k,LSH,200,10,10,0.037,0.0011273
PBMC3k,LSH,200,10,15,0.054,0.0011273
PBMC3k,LSH,200,20,1,0.03,0.0015214
PBMC3k,LSH,200,20,3,0.036666667,0.0015214
PBMC3k,LSH,200,20,6,0.043888889,0.0015214
PBMC3k,LSH,200,20,10,0.058333333,0.0015214
PBMC3k,LSH,200,20,15,0.072222222,0.0015214
PBMC3k,LSH,200,40,1,0.07,0.0014693
PBMC3k,LSH,200,40,3,0.074444444,0.0014693
PBMC3k,LSH,200,40,6,0.089444444,0.0014693
PBMC3k,LSH,200,40,10,0.101666667,0.0014693
PBMC3k,LSH,200,40,15,0.112444444,0.0014693
PBMC3k,LSH,200,80,1,0.12,0.0018075
PBMC3k,LSH,200,80,3,0.148888889,0.0018075
PBMC3k,LSH,200,80,6,0.140555556,0.0018075
PBMC3k,LSH,200,80,10,0.14,0.0018075
PBMC3k,LSH,200,80,15,0.150888889,0.0018075
PBMC3k,LSH,200,120,1,0.173333333,0.0023209
PBMC3k,LSH,200,120,3,0.184444444,0.0023209
PBMC3k,LSH,200,120,6,0.177222222,0.0023209
PBMC3k,LSH,200,120,10,0.177666667,0.0023209
PBMC3k,LSH,200,120,15,0.185777778,0.0023209
