Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
50,0.05,100,10,1,1.0,1.0,1.0,1.0,1.0,0.25333333333333335,dw_pmad,4.462154299981194,0.008735100011108443,13.272584000020288,0.4782124999910593,0.01629589998628944,1.9267687999818008
50,0.1,100,10,1,1.0,1.0,1.0,1.0,1.0,0.92,dw_pmad,24.299474800005555,0.008181599987437949,12.748505600000499,0.5748787000193261,0.009253800002625212,5.273371999996016
50,0.2,100,10,1,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,dw_pmad,88.98859039999661,0.15550100000109524,12.434654200013028,0.4924892000271939,0.06351700000232086,3.2570651000132784
50,0.05,100,10,3,0.38555555555555554,0.3844444444444444,0.46111111111111114,0.39666666666666667,0.38,0.2388888888888889,umap,4.462154299981194,0.008735100011108443,13.272584000020288,0.4782124999910593,0.01629589998628944,1.9267687999818008
50,0.1,100,10,3,0.5255555555555556,0.5244444444444445,0.5233333333333333,0.43,0.43666666666666665,0.5288888888888889,mds,24.299474800005555,0.008181599987437949,12.748505600000499,0.5748787000193261,0.009253800002625212,5.273371999996016
50,0.2,100,10,3,0.6244444444444445,0.6322222222222222,0.5288888888888889,0.4677777777777778,0.5011111111111111,0.6722222222222223,mds,88.98859039999661,0.15550100000109524,12.434654200013028,0.4924892000271939,0.06351700000232086,3.2570651000132784
50,0.05,100,10,6,0.3088888888888889,0.31166666666666665,0.38666666666666666,0.285,0.2727777777777778,0.245,umap,4.462154299981194,0.008735100011108443,13.272584000020288,0.4782124999910593,0.01629589998628944,1.9267687999818008
50,0.1,100,10,6,0.47833333333333333,0.48055555555555557,0.4638888888888889,0.36777777777777776,0.3561111111111111,0.5022222222222222,mds,24.299474800005555,0.008181599987437949,12.748505600000499,0.5748787000193261,0.009253800002625212,5.273371999996016
50,0.2,100,10,6,0.6244444444444445,0.62,0.4572222222222222,0.4583333333333333,0.425,0.6738888888888889,mds,88.98859039999661,0.15550100000109524,12.434654200013028,0.4924892000271939,0.06351700000232086,3.2570651000132784
50,0.05,100,10,10,0.317,0.31733333333333336,0.387,0.282,0.24766666666666667,0.2816666666666667,umap,4.462154299981194,0.008735100011108443,13.272584000020288,0.4782124999910593,0.01629589998628944,1.9267687999818008
50,0.4,100,10,1,1.0,1.0,1.0,1.0,1.0,1.0,dw_pmad,206.42207079997752,0.012071499979356304,12.554574300011154,0.7965793999901507,0.19991049999953248,2.780069000000367
50,0.1,100,10,10,0.5073333333333333,0.506,0.458,0.386,0.359,0.542,mds,24.299474800005555,0.008181599987437949,12.748505600000499,0.5748787000193261,0.009253800002625212,5.273371999996016
50,0.2,100,10,10,0.6643333333333333,0.6656666666666666,0.45,0.4563333333333333,0.42633333333333334,0.6956666666666667,mds,88.98859039999661,0.15550100000109524,12.434654200013028,0.4924892000271939,0.06351700000232086,3.2570651000132784
50,0.05,100,10,15,0.344,0.34444444444444444,0.3997777777777778,0.32,0.2717777777777778,0.3388888888888889,umap,4.462154299981194,0.008735100011108443,13.272584000020288,0.4782124999910593,0.01629589998628944,1.9267687999818008
50,0.1,100,10,15,0.5497777777777778,0.5462222222222223,0.4617777777777778,0.4315555555555556,0.38866666666666666,0.5797777777777777,mds,24.299474800005555,0.008181599987437949,12.748505600000499,0.5748787000193261,0.009253800002625212,5.273371999996016
50,0.6,100,10,1,1.0,1.0,1.0,1.0,1.0,1.0,dw_pmad,319.2129162999918,0.039875100017525256,11.825344800017774,0.6279347999952734,0.376760999992257,11.836907999997493
50,0.2,100,10,15,0.7062222222222222,0.7062222222222222,0.46044444444444443,0.4791111111111111,0.45155555555555554,0.7346666666666667,mds,88.98859039999661,0.15550100000109524,12.434654200013028,0.4924892000271939,0.06351700000232086,3.2570651000132784
50,0.4,100,10,3,0.7944444444444444,0.7911111111111111,0.5455555555555556,0.5322222222222223,0.5588888888888889,0.7811111111111111,dw_pmad,206.42207079997752,0.012071499979356304,12.554574300011154,0.7965793999901507,0.19991049999953248,2.780069000000367
50,0.6,100,10,3,0.8966666666666666,0.8966666666666666,0.5344444444444445,0.58,0.6011111111111112,0.8277777777777777,dw_pmad,319.2129162999918,0.039875100017525256,11.825344800017774,0.6279347999952734,0.376760999992257,11.836907999997493
50,0.4,100,10,6,0.7927777777777778,0.7866666666666666,0.46,0.5588888888888889,0.4872222222222222,0.7922222222222223,dw_pmad,206.42207079997752,0.012071499979356304,12.554574300011154,0.7965793999901507,0.19991049999953248,2.780069000000367
50,0.6,100,10,6,0.8883333333333333,0.8866666666666667,0.4588888888888889,0.6277777777777778,0.5516666666666666,0.855,dw_pmad,319.2129162999918,0.039875100017525256,11.825344800017774,0.6279347999952734,0.376760999992257,11.836907999997493
