Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s),Autoencoder Accuracy,FastICA Accuracy,FeatureAgglomeration Accuracy,LLE Accuracy,NMF Accuracy,RandomProjection Accuracy,VAE Accuracy,tSNE Accuracy,Autoencoder MethodTime(s),FastICA MethodTime(s),FeatureAgglomeration MethodTime(s),LLE MethodTime(s),NMF MethodTime(s),RandomProjection MethodTime(s),VAE MethodTime(s),tSNE MethodTime(s),LSH Accuracy,LSH MethodTime(s)
200,0.05,100,1,1,0.253333333,0.266666667,0.251666667,0.238333333,0.235,0.223333333,pca,38.11244727,0.052066407,17.51020013,0.3791812,0.335587475,9.767031707,0.2433333333333333,0.275,0.255,0.2683333333333333,0.27,0.265,0.2616666666666666,0.1316666666666666,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.006666667,0.0011273
200,0.05,100,1,3,0.115,0.153333333,0.261111111,0.118333333,0.106111111,0.14,umap,38.11244727,0.052066407,17.51020013,0.3791812,0.335587475,9.767031707,0.1061111111111111,0.1477777777777777,0.1261111111111111,0.1505555555555555,0.1422222222222222,0.1305555555555555,0.1522222222222222,0.1544444444444444,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.02,0.0011273
200,0.05,100,1,6,0.101944444,0.148055556,0.255277778,0.125,0.081944444,0.156111111,umap,38.11244727,0.052066407,17.51020013,0.3791812,0.335587475,9.767031707,0.0858333333333333,0.1463888888888889,0.1061111111111111,0.1194444444444444,0.1347222222222222,0.1025,0.1333333333333333,0.1622222222222222,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.027222222,0.0011273
200,0.05,100,1,10,0.107333333,0.175166667,0.242,0.123166667,0.076833333,0.1845,umap,38.11244727,0.052066407,17.51020013,0.3791812,0.335587475,9.767031707,0.0963333333333333,0.1696666666666666,0.1075,0.1013333333333333,0.1493333333333333,0.1056666666666666,0.1433333333333333,0.173,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.037,0.0011273
200,0.05,100,1,15,0.124222222,0.194444444,0.240666667,0.130777778,0.079666667,0.216777778,umap,38.11244727,0.052066407,17.51020013,0.3791812,0.335587475,9.767031707,0.1104444444444444,0.19,0.1194444444444444,0.0883333333333333,0.1694444444444444,0.1228888888888889,0.1666666666666666,0.1808888888888888,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.054,0.0011273
200,0.05,100,6,1,0.253333333,0.266666667,0.251666667,0.238333333,0.235,0.223333333,pca,22.89002801,0.009980787,2.865281137,0.332507383,0.299795965,9.740018951,0.2433333333333333,0.275,0.255,0.2683333333333333,0.27,0.265,0.2616666666666666,0.1316666666666666,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.006666667,0.0011273
200,0.05,100,6,3,0.115,0.153333333,0.261111111,0.118333333,0.106111111,0.14,umap,22.89002801,0.009980787,2.865281137,0.332507383,0.299795965,9.740018951,0.1061111111111111,0.1477777777777777,0.1261111111111111,0.1505555555555555,0.1422222222222222,0.1305555555555555,0.1522222222222222,0.1544444444444444,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.02,0.0011273
200,0.05,100,6,6,0.101944444,0.148055556,0.255277778,0.125,0.081944444,0.156111111,umap,22.89002801,0.009980787,2.865281137,0.332507383,0.299795965,9.740018951,0.0858333333333333,0.1463888888888889,0.1061111111111111,0.1194444444444444,0.1347222222222222,0.1025,0.1333333333333333,0.1622222222222222,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.027222222,0.0011273
200,0.05,100,6,10,0.107333333,0.175166667,0.242,0.123166667,0.076833333,0.1845,umap,22.89002801,0.009980787,2.865281137,0.332507383,0.299795965,9.740018951,0.0963333333333333,0.1696666666666666,0.1075,0.1013333333333333,0.1493333333333333,0.1056666666666666,0.1433333333333333,0.173,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.037,0.0011273
200,0.05,100,6,15,0.124222222,0.194444444,0.240666667,0.130777778,0.079666667,0.216777778,umap,22.89002801,0.009980787,2.865281137,0.332507383,0.299795965,9.740018951,0.1104444444444444,0.19,0.1194444444444444,0.0883333333333333,0.1694444444444444,0.1228888888888889,0.1666666666666666,0.1808888888888888,0.7325952000101097,0.026258300000336,0.0085090000065974,0.1268139999883715,0.3144977999909315,0.0037383000017143,1.0969219999969937,13.55893199998536,0.054,0.0011273
